		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS2
CDK1 - FGF1
CDK1 - FGF2
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 2 (53)	 number of edges : 96
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF1 - KLB
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - KLB
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS2
FGF6 - KLB
FGF6 - FGF1
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF1
FGF20 - FRS3
FGF20 - FRS2
FGF20 - KLB
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - KLB
MAPK1 - FGF1
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - KLB
YWHAB - FGF1
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS2
CDK1 - FGF1
CDK1 - FGF2
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 3 (304)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS3
CDK1 - FRS2
CDK1 - KLB
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 4 (305)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS3
CDK1 - FRS2
CDK1 - KLB
FGF19 - FRS3
FGF19 - FRS2
FGF19 - FGF2


network 5 (319)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS2
CDK1 - KLB
CDK1 - FGF1
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 6 (333)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS2
CDK1 - FGF1
CDK1 - FGF2
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 7 (337)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS3
CDK1 - FRS2
CDK1 - FGF1
FGF19 - FRS3
FGF19 - FRS2
FGF19 - KLB


network 8 (532)	 number of edges : 95
------------------------------

FRS2 - FRS3
KLB - FRS3
KLB - FRS2
FGF1 - FRS3
FGF1 - FRS2
FGF2 - FRS3
FGF2 - FRS2
FGF2 - KLB
FGF3 - FRS3
FGF3 - FRS2
FGF3 - FGF2
FGF4 - FRS3
FGF4 - FRS2
FGF4 - KLB
FGF5 - FRS3
FGF5 - FRS2
FGF5 - FGF2
FGF6 - FRS3
FGF6 - FRS2
FGF6 - KLB
FGF7 - FRS3
FGF7 - FRS2
FGF7 - KLB
FGF8 - FRS3
FGF8 - FRS2
FGF8 - KLB
FGF9 - FRS3
FGF9 - FRS2
FGF9 - KLB
FGF10 - FRS3
FGF10 - FRS2
FGF10 - KLB
FGFR1 - FRS3
FGFR1 - FRS2
FGFR1 - KLB
FGFR2 - FRS3
FGFR2 - FRS2
FGFR2 - KLB
FGFR4 - FRS3
FGFR4 - FRS2
FGFR4 - FGF2
FGF20 - FRS3
FGF20 - FRS2
FGF20 - FGF2
GRB2 - FRS3
GRB2 - FRS2
GRB2 - KLB
HRAS - FRS3
HRAS - FRS2
HRAS - KLB
KRAS - FRS3
KRAS - KLB
KRAS - FGF1
NRAS - FRS3
NRAS - KLB
NRAS - FGF1
MAPK1 - FRS3
MAPK1 - FRS2
MAPK1 - KLB
MAPK3 - FRS3
MAPK3 - FRS2
MAPK3 - KLB
MAP2K1 - FRS3
MAP2K1 - FRS2
MAP2K1 - KLB
MAP2K2 - FRS3
MAP2K2 - FRS2
MAP2K2 - KLB
RAF1 - FRS3
RAF1 - FRS2
RAF1 - KLB
SOS1 - FRS3
SOS1 - KLB
SOS1 - FGF1
YWHAB - FRS3
YWHAB - FRS2
YWHAB - KLB
FGF23 - FRS3
FGF23 - FRS2
FGF23 - KLB
FGF18 - FRS3
FGF18 - FRS2
FGF18 - KLB
FGF17 - FRS3
FGF17 - FRS2
FGF17 - KLB
KL - FRS3
KL - FRS2
KL - KLB
CDK1 - FRS2
CDK1 - KLB
CDK1 - FGF1
FGF19 - FRS3
FGF19 - FRS2
FGF19 - FGF2


