		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
HTR1D - CHRM2
HTR1E - HRH3
HTR1E - CHRM1
HTR1E - CHRM2
HTR1F - HRH3
HTR1F - CHRM1
HTR1F - CHRM2
HTR2A - HRH3
HTR2A - CHRM1
HTR2A - CHRM2
HTR2B - HRH3
HTR2B - CHRM1
HTR2B - CHRM2
HTR2C - HRH3
HTR2C - CHRM1
HTR2C - CHRM2
HTR5A - HRH3
HTR5A - CHRM1
HTR5A - CHRM2
HTR6 - HRH3
HTR6 - CHRM1
HTR6 - CHRM2
HTR7 - CHRM2
HTR7 - CHRM3
HTR7 - CHRM5
HRH4 - CHRM2
HRH4 - CHRM3
HRH4 - CHRM5
TAAR8 - HRH3
TAAR8 - CHRM1
TAAR8 - CHRM2
TAAR5 - HRH3
TAAR5 - CHRM1
TAAR5 - CHRM2
TAAR2 - HRH3
TAAR2 - CHRM1
TAAR2 - CHRM2


network 2 (8)	 number of edges : 99
------------------------------

CHRM1 - HRH3
CHRM2 - HRH3
CHRM2 - CHRM1
CHRM3 - HRH3
CHRM3 - CHRM1
CHRM3 - CHRM2
CHRM5 - HRH3
CHRM5 - CHRM1
CHRM5 - CHRM2
TAAR1 - HRH3
TAAR1 - CHRM1
TAAR1 - CHRM2
ADRA1D - HRH3
ADRA1D - CHRM1
ADRA1D - CHRM2
ADRA1B - HRH3
ADRA1B - CHRM1
ADRA1B - CHRM2
ADRA1A - HRH3
ADRA1A - CHRM1
ADRA1A - CHRM2
ADRA2B - HRH3
ADRA2B - CHRM1
ADRA2B - CHRM2
ADRB1 - HRH3
ADRB1 - CHRM1
ADRB1 - CHRM2
ADRB2 - HRH3
ADRB2 - CHRM1
ADRB2 - CHRM2
ADRB3 - HRH3
ADRB3 - CHRM1
ADRB3 - CHRM2
DRD1 - HRH3
DRD1 - CHRM1
DRD1 - CHRM2
DRD2 - HRH3
DRD2 - CHRM1
DRD2 - CHRM2
DRD3 - HRH3
DRD3 - CHRM1
DRD3 - CHRM2
DRD5 - HRH3
DRD5 - CHRM1
DRD5 - CHRM2
TAAR6 - HRH3
TAAR6 - CHRM1
TAAR6 - CHRM2
HRH1 - HRH3
HRH1 - CHRM1
HRH1 - CHRM2
HRH2 - CHRM2
HRH2 - CHRM3
HRH2 - CHRM5
HTR1A - HRH3
HTR1A - CHRM1
HTR1A - CHRM2
HTR1B - HRH3
HTR1B - CHRM1
HTR1B - CHRM2
HTR1D - HRH3
HTR1D - CHRM1
HTR1D - CHRM2
HTR1E - HRH3
HTR1E - CHRM1
HTR1E - CHRM2
HTR1F - HRH3
HTR1F - CHRM1
HTR1F - CHRM2
HTR2A - HRH3
HTR2A - CHRM1
HTR2A - CHRM2
HTR2B - HRH3
HTR2B - CHRM1
HTR2B - CHRM2
HTR2C - HRH3
HTR2C - CHRM1
HTR2C - CHRM2
HTR5A - HRH3
HTR5A - CHRM1
HTR5A - CHRM2
HTR6 - HRH3
HTR6 - CHRM1
HTR6 - CHRM2
HTR7 - CHRM2
HTR7 - CHRM3
HTR7 - CHRM5
HRH4 - HRH3
HRH4 - CHRM2
HRH4 - CHRM3
TAAR8 - HRH3
TAAR8 - CHRM1
TAAR8 - CHRM2
TAAR5 - HRH3
TAAR5 - CHRM1
TAAR5 - CHRM2
TAAR2 - HRH3
TAAR2 - CHRM1
TAAR2 - CHRM2


network 3 (304)	 number of edges : 99
------------------------------

CHRM1 - HRH3
CHRM2 - HRH3
CHRM2 - CHRM1
CHRM3 - HRH3
CHRM3 - CHRM1
CHRM3 - CHRM2
CHRM5 - HRH3
CHRM5 - CHRM1
CHRM5 - CHRM2
TAAR1 - HRH3
TAAR1 - CHRM1
TAAR1 - CHRM2
ADRA1D - HRH3
ADRA1D - CHRM1
ADRA1D - CHRM5
ADRA1B - HRH3
ADRA1B - CHRM1
ADRA1B - CHRM2
ADRA1A - HRH3
ADRA1A - CHRM1
ADRA1A - CHRM5
ADRA2B - HRH3
ADRA2B - CHRM1
ADRA2B - CHRM2
ADRB1 - HRH3
ADRB1 - CHRM1
ADRB1 - CHRM3
ADRB2 - HRH3
ADRB2 - CHRM1
ADRB2 - CHRM2
ADRB3 - HRH3
ADRB3 - CHRM1
ADRB3 - CHRM2
DRD1 - HRH3
DRD1 - CHRM1
DRD1 - CHRM2
DRD2 - HRH3
DRD2 - CHRM1
DRD2 - CHRM2
DRD3 - HRH3
DRD3 - CHRM1
DRD3 - CHRM2
DRD5 - HRH3
DRD5 - CHRM1
DRD5 - CHRM2
TAAR6 - HRH3
TAAR6 - CHRM1
TAAR6 - CHRM2
HRH1 - HRH3
HRH1 - CHRM1
HRH1 - CHRM2
HRH2 - CHRM2
HRH2 - CHRM5
HRH2 - ADRA1A
HTR1A - HRH3
HTR1A - CHRM1
HTR1A - CHRM2
HTR1B - HRH3
HTR1B - CHRM1
HTR1B - CHRM2
HTR1D - HRH3
HTR1D - CHRM1
HTR1D - CHRM2
HTR1E - HRH3
HTR1E - CHRM1
HTR1E - CHRM2
HTR1F - HRH3
HTR1F - CHRM1
HTR1F - CHRM2
HTR2A - HRH3
HTR2A - CHRM1
HTR2A - CHRM3
HTR2B - HRH3
HTR2B - CHRM1
HTR2B - CHRM2
HTR2C - HRH3
HTR2C - CHRM1
HTR2C - CHRM5
HTR5A - HRH3
HTR5A - CHRM1
HTR5A - CHRM2
HTR6 - HRH3
HTR6 - CHRM1
HTR6 - CHRM2
HTR7 - CHRM2
HTR7 - CHRM3
HTR7 - CHRM5
HRH4 - CHRM3
HRH4 - ADRB2
HRH4 - ADRB3
TAAR8 - HRH3
TAAR8 - CHRM1
TAAR8 - CHRM2
TAAR5 - HRH3
TAAR5 - CHRM1
TAAR5 - CHRM2
TAAR2 - HRH3
TAAR2 - CHRM1
TAAR2 - CHRM2


network 4 (307)	 number of edges : 99
------------------------------

CHRM1 - HRH3
CHRM2 - HRH3
CHRM2 - CHRM1
CHRM3 - HRH3
CHRM3 - CHRM1
CHRM3 - CHRM2
CHRM5 - HRH3
CHRM5 - CHRM1
CHRM5 - CHRM2
TAAR1 - HRH3
TAAR1 - CHRM1
TAAR1 - CHRM2
ADRA1D - HRH3
ADRA1D - CHRM1
ADRA1D - CHRM5
ADRA1B - HRH3
ADRA1B - CHRM1
ADRA1B - CHRM2
ADRA1A - HRH3
ADRA1A - CHRM1
ADRA1A - CHRM5
ADRA2B - HRH3
ADRA2B - CHRM1
ADRA2B - CHRM2
ADRB1 - HRH3
ADRB1 - CHRM1
ADRB1 - CHRM3
ADRB2 - HRH3
ADRB2 - CHRM1
ADRB2 - CHRM2
ADRB3 - HRH3
ADRB3 - CHRM1
ADRB3 - CHRM2
DRD1 - HRH3
DRD1 - CHRM1
DRD1 - CHRM2
DRD2 - HRH3
DRD2 - CHRM1
DRD2 - CHRM2
DRD3 - HRH3
DRD3 - CHRM1
DRD3 - CHRM2
DRD5 - HRH3
DRD5 - CHRM1
DRD5 - CHRM2
TAAR6 - HRH3
TAAR6 - CHRM1
TAAR6 - CHRM2
HRH1 - HRH3
HRH1 - CHRM1
HRH1 - CHRM2
HRH2 - CHRM2
HRH2 - CHRM5
HRH2 - ADRA1A
HTR1A - HRH3
HTR1A - CHRM1
HTR1A - CHRM2
HTR1B - HRH3
HTR1B - CHRM1
HTR1B - CHRM2
HTR1D - HRH3
HTR1D - CHRM1
HTR1D - CHRM2
HTR1E - HRH3
HTR1E - CHRM1
HTR1E - CHRM2
HTR1F - HRH3
HTR1F - CHRM1
HTR1F - CHRM2
HTR2A - HRH3
HTR2A - CHRM1
HTR2A - CHRM3
HTR2B - HRH3
HTR2B - CHRM1
HTR2B - CHRM2
HTR2C - HRH3
HTR2C - CHRM1
HTR2C - CHRM5
HTR5A - HRH3
HTR5A - CHRM1
HTR5A - CHRM5
HTR6 - HRH3
HTR6 - CHRM1
HTR6 - CHRM2
HTR7 - CHRM2
HTR7 - CHRM3
HTR7 - CHRM5
HRH4 - CHRM3
HRH4 - ADRB2
HRH4 - ADRB3
TAAR8 - HRH3
TAAR8 - CHRM1
TAAR8 - CHRM2
TAAR5 - HRH3
TAAR5 - CHRM1
TAAR5 - CHRM2
TAAR2 - HRH3
TAAR2 - CHRM1
TAAR2 - CHRM2


